date,service_period,service_hours,item,season,is_weekend,is_public_holiday,holiday_name,local_event,temperature_c,rainfall_mm,quantity_ordered,quantity_sold,waste_kg
2024-01-01,Morning,07:00-11:00,Chicken Breast,Winter,0,1,New Year's Day,sports_game,4.1,0.0,7.3,5.9,1.4
2024-01-01,Afternoon,11:00-16:00,Chicken Breast,Winter,0,1,New Year's Day,sports_game,4.1,0.0,23.6,18.7,4.9
2024-01-01,Evening,16:00-23:00,Chicken Breast,Winter,0,1,New Year's Day,sports_game,4.1,0.0,45.2,33.8,11.4
2024-01-01,Morning,07:00-11:00,Milk,Winter,0,1,New Year's Day,sports_game,4.1,0.0,18.3,17.4,0.9
2024-01-01,Afternoon,11:00-16:00,Milk,Winter,0,1,New Year's Day,sports_game,4.1,0.0,22.1,18.2,3.9
2024-01-01,Evening,16:00-23:00,Milk,Winter,0,1,New Year's Day,sports_game,4.1,0.0,5.8,5.5,0.3
2024-01-01,Morning,07:00-11:00,Tomatoes,Winter,0,1,New Year's Day,sports_game,4.1,0.0,11.3,9.0,2.3
2024-01-01,Afternoon,11:00-16:00,Tomatoes,Winter,0,1,New Year's Day,sports_game,4.1,0.0,15.3,11.7,3.6
2024-01-01,Evening,16:00-23:00,Tomatoes,Winter,0,1,New Year's Day,sports_game,4.1,0.0,29.2,23.6,5.6
2024-01-01,Morning,07:00-11:00,Greek Yogurt,Winter,0,1,New Year's Day,sports_game,4.1,0.0,15.2,11.9,3.3
2024-01-01,Afternoon,11:00-16:00,Greek Yogurt,Winter,0,1,New Year's Day,sports_game,4.1,0.0,16.8,12.9,3.9
2024-01-01,Evening,16:00-23:00,Greek Yogurt,Winter,0,1,New Year's Day,sports_game,4.1,0.0,9.5,7.7,1.8
2024-01-01,Morning,07:00-11:00,Lettuce,Winter,0,1,New Year's Day,sports_game,4.1,0.0,6.9,5.2,1.7
2024-01-01,Afternoon,11:00-16:00,Lettuce,Winter,0,1,New Year's Day,sports_game,4.1,0.0,13.0,10.2,2.8
2024-01-01,Evening,16:00-23:00,Lettuce,Winter,0,1,New Year's Day,sports_game,4.1,0.0,18.2,15.8,2.4
2024-01-01,Morning,07:00-11:00,Avocado,Winter,0,1,New Year's Day,sports_game,4.1,0.0,3.3,2.6,0.7
2024-01-01,Afternoon,11:00-16:00,Avocado,Winter,0,1,New Year's Day,sports_game,4.1,0.0,11.1,9.5,1.6
2024-01-01,Evening,16:00-23:00,Avocado,Winter,0,1,New Year's Day,sports_game,4.1,0.0,19.5,15.9,3.6
2024-01-01,Morning,07:00-11:00,Strawberries,Winter,0,1,New Year's Day,sports_game,4.1,0.0,6.8,5.6,1.2
2024-01-01,Afternoon,11:00-16:00,Strawberries,Winter,0,1,New Year's Day,sports_game,4.1,0.0,12.0,9.9,2.1
2024-01-01,Evening,16:00-23:00,Strawberries,Winter,0,1,New Year's Day,sports_game,4.1,0.0,15.9,12.6,3.3
2024-01-01,Morning,07:00-11:00,Fresh Pasta,Winter,0,1,New Year's Day,sports_game,4.1,0.0,2.2,1.7,0.5
2024-01-01,Afternoon,11:00-16:00,Fresh Pasta,Winter,0,1,New Year's Day,sports_game,4.1,0.0,8.4,7.5,0.9
2024-01-01,Evening,16:00-23:00,Fresh Pasta,Winter,0,1,New Year's Day,sports_game,4.1,0.0,23.5,18.7,4.8
2024-01-01,Morning,07:00-11:00,Salmon,Winter,0,1,New Year's Day,sports_game,4.1,0.0,4.0,3.3,0.7
2024-01-01,Afternoon,11:00-16:00,Salmon,Winter,0,1,New Year's Day,sports_game,4.1,0.0,7.8,6.7,1.1
2024-01-01,Evening,16:00-23:00,Salmon,Winter,0,1,New Year's Day,sports_game,4.1,0.0,18.1,14.8,3.3
2024-01-01,Morning,07:00-11:00,Fresh Herbs,Winter,0,1,New Year's Day,sports_game,4.1,0.0,5.7,5.1,0.6
2024-01-01,Afternoon,11:00-16:00,Fresh Herbs,Winter,0,1,New Year's Day,sports_game,4.1,0.0,4.8,3.9,0.9
2024-01-01,Evening,16:00-23:00,Fresh Herbs,Winter,0,1,New Year's Day,sports_game,4.1,0.0,3.1,2.8,0.3
2024-01-02,Morning,07:00-11:00,Chicken Breast,Winter,0,0,,conference,3.0,0.2,8.7,7.3,1.4
2024-01-02,Afternoon,11:00-16:00,Chicken Breast,Winter,0,0,,conference,3.0,0.2,40.0,29.9,10.1
2024-01-02,Evening,16:00-23:00,Chicken Breast,Winter,0,0,,conference,3.0,0.2,78.5,62.3,16.2
2024-01-02,Morning,07:00-11:00,Milk,Winter,0,0,,conference,3.0,0.2,27.6,22.1,5.5
2024-01-02,Afternoon,11:00-16:00,Milk,Winter,0,0,,conference,3.0,0.2,38.5,28.9,9.6
2024-01-02,Evening,16:00-23:00,Milk,Winter,0,0,,conference,3.0,0.2,24.4,19.2,5.2
2024-01-02,Morning,07:00-11:00,Tomatoes,Winter,0,0,,conference,3.0,0.2,13.7,11.5,2.2
2024-01-02,Afternoon,11:00-16:00,Tomatoes,Winter,0,0,,conference,3.0,0.2,29.6,24.7,4.9
2024-01-02,Evening,16:00-23:00,Tomatoes,Winter,0,0,,conference,3.0,0.2,37.6,29.9,7.7
2024-01-02,Morning,07:00-11:00,Greek Yogurt,Winter,0,0,,conference,3.0,0.2,22.3,18.8,3.5
2024-01-02,Afternoon,11:00-16:00,Greek Yogurt,Winter,0,0,,conference,3.0,0.2,27.0,22.8,4.2
2024-01-02,Evening,16:00-23:00,Greek Yogurt,Winter,0,0,,conference,3.0,0.2,18.4,16.6,1.8
2024-01-02,Morning,07:00-11:00,Lettuce,Winter,0,0,,conference,3.0,0.2,8.8,6.9,1.9
2024-01-02,Afternoon,11:00-16:00,Lettuce,Winter,0,0,,conference,3.0,0.2,24.7,20.0,4.7
2024-01-02,Evening,16:00-23:00,Lettuce,Winter,0,0,,conference,3.0,0.2,29.8,25.7,4.1
2024-01-02,Morning,07:00-11:00,Avocado,Winter,0,0,,conference,3.0,0.2,13.2,9.8,3.4
2024-01-02,Afternoon,11:00-16:00,Avocado,Winter,0,0,,conference,3.0,0.2,22.9,20.2,2.7
2024-01-02,Evening,16:00-23:00,Avocado,Winter,0,0,,conference,3.0,0.2,28.9,24.7,4.2
2024-01-02,Morning,07:00-11:00,Strawberries,Winter,0,0,,conference,3.0,0.2,11.1,10.2,0.9
2024-01-02,Afternoon,11:00-16:00,Strawberries,Winter,0,0,,conference,3.0,0.2,22.9,18.3,4.6
2024-01-02,Evening,16:00-23:00,Strawberries,Winter,0,0,,conference,3.0,0.2,26.1,19.4,6.7
2024-01-02,Morning,07:00-11:00,Fresh Pasta,Winter,0,0,,conference,3.0,0.2,3.1,2.4,0.7
2024-01-02,Afternoon,11:00-16:00,Fresh Pasta,Winter,0,0,,conference,3.0,0.2,16.2,12.8,3.4
2024-01-02,Evening,16:00-23:00,Fresh Pasta,Winter,0,0,,conference,3.0,0.2,37.0,27.1,9.9
2024-01-02,Morning,07:00-11:00,Salmon,Winter,0,0,,conference,3.0,0.2,2.4,2.0,0.4
2024-01-02,Afternoon,11:00-16:00,Salmon,Winter,0,0,,conference,3.0,0.2,13.7,12.0,1.7
2024-01-02,Evening,16:00-23:00,Salmon,Winter,0,0,,conference,3.0,0.2,29.0,22.7,6.3
2024-01-02,Morning,07:00-11:00,Fresh Herbs,Winter,0,0,,conference,3.0,0.2,9.2,8.5,0.7
2024-01-02,Afternoon,11:00-16:00,Fresh Herbs,Winter,0,0,,conference,3.0,0.2,9.8,8.0,1.8
2024-01-02,Evening,16:00-23:00,Fresh Herbs,Winter,0,0,,conference,3.0,0.2,7.3,6.2,1.1
2024-01-03,Morning,07:00-11:00,Chicken Breast,Winter,0,0,,festival,10.0,0.0,11.4,9.3,2.1
2024-01-03,Afternoon,11:00-16:00,Chicken Breast,Winter,0,0,,festival,10.0,0.0,54.9,49.2,5.7
2024-01-03,Evening,16:00-23:00,Chicken Breast,Winter,0,0,,festival,10.0,0.0,116.3,86.8,29.5
2024-01-03,Morning,07:00-11:00,Milk,Winter,0,0,,festival,10.0,0.0,39.9,35.7,4.2
2024-01-03,Afternoon,11:00-16:00,Milk,Winter,0,0,,festival,10.0,0.0,38.4,30.4,8.0
2024-01-03,Evening,16:00-23:00,Milk,Winter,0,0,,festival,10.0,0.0,25.4,22.1,3.3
2024-01-03,Morning,07:00-11:00,Tomatoes,Winter,0,0,,festival,10.0,0.0,22.3,17.3,5.0
2024-01-03,Afternoon,11:00-16:00,Tomatoes,Winter,0,0,,festival,10.0,0.0,42.1,32.6,9.5
2024-01-03,Evening,16:00-23:00,Tomatoes,Winter,0,0,,festival,10.0,0.0,60.4,52.9,7.5
2024-01-03,Morning,07:00-11:00,Greek Yogurt,Winter,0,0,,festival,10.0,0.0,34.5,27.9,6.6
2024-01-03,Afternoon,11:00-16:00,Greek Yogurt,Winter,0,0,,festival,10.0,0.0,37.6,31.1,6.5
2024-01-03,Evening,16:00-23:00,Greek Yogurt,Winter,0,0,,festival,10.0,0.0,23.1,19.2,3.9
2024-01-03,Morning,07:00-11:00,Lettuce,Winter,0,0,,festival,10.0,0.0,20.0,14.7,5.3
2024-01-03,Afternoon,11:00-16:00,Lettuce,Winter,0,0,,festival,10.0,0.0,32.0,28.8,3.2
2024-01-03,Evening,16:00-23:00,Lettuce,Winter,0,0,,festival,10.0,0.0,44.7,38.2,6.5
2024-01-03,Morning,07:00-11:00,Avocado,Winter,0,0,,festival,10.0,0.0,17.3,15.2,2.1
2024-01-03,Afternoon,11:00-16:00,Avocado,Winter,0,0,,festival,10.0,0.0,23.8,20.1,3.7
2024-01-03,Evening,16:00-23:00,Avocado,Winter,0,0,,festival,10.0,0.0,36.5,29.4,7.1
2024-01-03,Morning,07:00-11:00,Strawberries,Winter,0,0,,festival,10.0,0.0,12.9,11.3,1.6
2024-01-03,Afternoon,11:00-16:00,Strawberries,Winter,0,0,,festival,10.0,0.0,27.0,21.7,5.3
2024-01-03,Evening,16:00-23:00,Strawberries,Winter,0,0,,festival,10.0,0.0,31.5,25.8,5.7
2024-01-03,Morning,07:00-11:00,Fresh Pasta,Winter,0,0,,festival,10.0,0.0,5.8,4.8,1.0
2024-01-03,Afternoon,11:00-16:00,Fresh Pasta,Winter,0,0,,festival,10.0,0.0,25.8,22.3,3.5
2024-01-03,Evening,16:00-23:00,Fresh Pasta,Winter,0,0,,festival,10.0,0.0,41.9,35.9,6.0
2024-01-03,Morning,07:00-11:00,Salmon,Winter,0,0,,festival,10.0,0.0,4.7,4.4,0.3
2024-01-03,Afternoon,11:00-16:00,Salmon,Winter,0,0,,festival,10.0,0.0,19.7,16.8,2.9
2024-01-03,Evening,16:00-23:00,Salmon,Winter,0,0,,festival,10.0,0.0,37.2,29.5,7.7
2024-01-03,Morning,07:00-11:00,Fresh Herbs,Winter,0,0,,festival,10.0,0.0,10.6,8.9,1.7
2024-01-03,Afternoon,11:00-16:00,Fresh Herbs,Winter,0,0,,festival,10.0,0.0,13.8,11.0,2.8
2024-01-03,Evening,16:00-23:00,Fresh Herbs,Winter,0,0,,festival,10.0,0.0,8.6,6.6,2.0
2024-01-04,Morning,07:00-11:00,Chicken Breast,Winter,0,0,,concert,9.4,1.5,19.0,16.4,2.6
2024-01-04,Afternoon,11:00-16:00,Chicken Breast,Winter,0,0,,concert,9.4,1.5,51.3,40.9,10.4
2024-01-04,Evening,16:00-23:00,Chicken Breast,Winter,0,0,,concert,9.4,1.5,92.3,71.3,21.0
2024-01-04,Morning,07:00-11:00,Milk,Winter,0,0,,concert,9.4,1.5,37.8,35.7,2.1
2024-01-04,Afternoon,11:00-16:00,Milk,Winter,0,0,,concert,9.4,1.5,43.9,34.6,9.3
2024-01-04,Evening,16:00-23:00,Milk,Winter,0,0,,concert,9.4,1.5,29.2,24.1,5.1
2024-01-04,Morning,07:00-11:00,Tomatoes,Winter,0,0,,concert,9.4,1.5,25.5,19.8,5.7
2024-01-04,Afternoon,11:00-16:00,Tomatoes,Winter,0,0,,concert,9.4,1.5,40.1,32.3,7.8
2024-01-04,Evening,16:00-23:00,Tomatoes,Winter,0,0,,concert,9.4,1.5,52.9,42.2,10.7
2024-01-04,Morning,07:00-11:00,Greek Yogurt,Winter,0,0,,concert,9.4,1.5,32.1,28.1,4.0
2024-01-04,Afternoon,11:00-16:00,Greek Yogurt,Winter,0,0,,concert,9.4,1.5,35.3,27.2,8.1
2024-01-04,Evening,16:00-23:00,Greek Yogurt,Winter,0,0,,concert,9.4,1.5,24.2,19.8,4.4
2024-01-04,Morning,07:00-11:00,Lettuce,Winter,0,0,,concert,9.4,1.5,16.0,13.6,2.4
2024-01-04,Afternoon,11:00-16:00,Lettuce,Winter,0,0,,concert,9.4,1.5,28.3,21.2,7.1
2024-01-04,Evening,16:00-23:00,Lettuce,Winter,0,0,,concert,9.4,1.5,43.0,37.4,5.6
2024-01-04,Morning,07:00-11:00,Avocado,Winter,0,0,,concert,9.4,1.5,12.2,9.3,2.9
2024-01-04,Afternoon,11:00-16:00,Avocado,Winter,0,0,,concert,9.4,1.5,25.6,22.8,2.8
2024-01-04,Evening,16:00-23:00,Avocado,Winter,0,0,,concert,9.4,1.5,35.8,28.1,7.7
2024-01-04,Morning,07:00-11:00,Strawberries,Winter,0,0,,concert,9.4,1.5,16.2,13.5,2.7
2024-01-04,Afternoon,11:00-16:00,Strawberries,Winter,0,0,,concert,9.4,1.5,23.6,18.0,5.6
2024-01-04,Evening,16:00-23:00,Strawberries,Winter,0,0,,concert,9.4,1.5,30.5,25.8,4.7
2024-01-04,Morning,07:00-11:00,Fresh Pasta,Winter,0,0,,concert,9.4,1.5,4.0,2.9,1.1
2024-01-04,Afternoon,11:00-16:00,Fresh Pasta,Winter,0,0,,concert,9.4,1.5,20.0,17.9,2.1
2024-01-04,Evening,16:00-23:00,Fresh Pasta,Winter,0,0,,concert,9.4,1.5,45.1,38.7,6.4
2024-01-04,Morning,07:00-11:00,Salmon,Winter,0,0,,concert,9.4,1.5,5.0,4.0,1.0
2024-01-04,Afternoon,11:00-16:00,Salmon,Winter,0,0,,concert,9.4,1.5,19.8,16.6,3.2
2024-01-04,Evening,16:00-23:00,Salmon,Winter,0,0,,concert,9.4,1.5,35.2,30.7,4.5
2024-01-04,Morning,07:00-11:00,Fresh Herbs,Winter,0,0,,concert,9.4,1.5,10.6,9.6,1.0
2024-01-04,Afternoon,11:00-16:00,Fresh Herbs,Winter,0,0,,concert,9.4,1.5,12.4,10.3,2.1
2024-01-04,Evening,16:00-23:00,Fresh Herbs,Winter,0,0,,concert,9.4,1.5,8.5,7.8,0.7
2024-01-05,Morning,07:00-11:00,Chicken Breast,Winter,0,0,,none,4.2,0.0,10.5,8.1,2.4
